time_s,active_axle_count,total_vertical_load_n,micro_pressure_wave_pa
0.0,0,0.0,50.88575432339113
0.01,0,0.0,51.899296275335246
0.02,0,0.0,52.92975857597442
0.03,0,0.0,53.97734870285286
0.04,0,0.0,55.04227504335434
0.05,0,0.0,56.124746860750776
0.06,0,0.0,57.22497425930663
0.07,0,0.0,58.34316814843422
0.08,0,0.0,59.47954020589409
0.09,0,0.0,60.634302840035815
0.1,0,0.0,61.80766915107457
0.11,0,0.0,62.99985289139899
0.12,0,0.0,64.21106842490637
0.13,0,0.0,65.44153068536221
0.14,0,0.0,66.6914551337797
0.15,0,0.0,67.96105771481724
0.16,0,0.0,69.25055481219114
0.17,0,0.0,70.56016320310107
0.18,0,0.0,71.89010001166714
0.19,0,0.0,73.24058266137656
0.2,0,0.0,74.61182882653955
0.21,0,0.0,76.00405638275345
0.22,0,0.0,77.41748335637546
0.23,0,0.0,78.85232787300345
0.24,0,0.0,80.30880810496711
0.25,0,0.0,81.78714221782882
0.26,0,0.0,83.28754831589718
0.27,0,0.0,84.81024438675522
0.28,0,0.0,86.35544824480483
0.29,0,0.0,87.9233774738322
0.3,0,0.0,89.51424936859591
0.31,0,0.0,91.1282808754435
0.32,0,0.0,92.76568853195965
0.33,0,0.0,94.4266884056519
0.34,0,0.0,96.11149603167884
0.35000000000000003,0,0.0,97.82032634962748
0.36,0,0.0,99.5533936393459
0.37,0,0.0,101.3109114558384
0.38,0,0.0,103.09309256323102
0.39,0,0.0,104.90014886781532
0.4,0,0.0,106.73229135017928
0.41000000000000003,0,0.0,108.58972999643505
0.42,0,0.0,110.4726737285526
0.43,0,0.0,112.38133033381004
0.44,0,0.0,114.31590639337219
0.45,0,0.0,116.276607210008
0.46,0,0.0,118.26363673495916
0.47000000000000003,0,0.0,120.27719749397362
0.48,0,0.0,122.3174905125156
0.49,0,0.0,124.38471524016744
0.5,0,0.0,126.47906947423719
0.51,0,0.0,128.6007492825865
0.52,0,0.0,130.7499489256957
0.53,0,0.0,132.92686077798075
0.54,0,0.0,135.13167524838076
0.55,0,0.0,137.3645807002315
0.56,0,0.0,139.62576337044467
0.5700000000000001,0,0.0,141.91540728801013
0.58,0,0.0,144.2336941918423
0.59,0,0.0,146.580803447988
0.6,0,0.0,148.95691196621877
0.61,0,0.0,151.36219411602647
0.62,0,0.0,153.7968216420456
0.63,0,0.0,156.26096357892396
0.64,0,0.0,158.754786165664
0.65,0,0.0,161.27845275945896
0.66,0,0.0,163.83212374904812
0.67,0,0.0,166.41595646761508
0.68,0,0.0,169.03010510525402
0.6900000000000001,0,0.0,171.67472062103218
0.7000000000000001,0,0.0,174.34995065467132
0.71,0,0.0,177.05593943787835
0.72,0,0.0,179.79282770535065
0.73,0,0.0,182.56075260548582
0.74,0,0.0,185.3598476108231
0.75,0,0.0,188.1902424282467
0.76,0,0.0,191.05206290898107
0.77,0,0.0,193.94543095840706
0.78,0,0.0,196.87046444573204
0.79,0,0.0,199.8272771135436
0.8,0,0.0,202.81597848727932
0.81,0,0.0,205.8366737846466
0.8200000000000001,0,0.0,208.88946382502274
0.8300000000000001,0,0.0,211.9744449388716
0.84,0,0.0,215.09170887720884
0.85,0,0.0,218.24134272115168
0.86,0,0.0,221.42342879158707
0.87,0,0.0,224.6380445589948
0.88,0,0.0,227.88526255345997
0.89,0,0.0,231.16515027491278
0.9,0,0.0,234.47777010363166
0.91,0,0.0,237.8231792110459
0.92,0,0.0,241.20142947087828
0.93,0,0.0,244.61256737066216
0.9400000000000001,0,0.0,248.05663392367364
0.9500000000000001,0,0.0,251.53366458131737
0.96,0,0.0,255.0436891460039
0.97,0,0.0,258.5867316845594
0.98,0,0.0,262.1628104422066
0.99,0,0.0,265.7719377571573
1.0,0,0.0,269.4141199758565
1.01,0,0.0,273.08935736892016
1.02,0,0.0,276.79764404780417
1.03,0,0.0,280.5389678822503
1.04,0,0.0,284.3133104185461
1.05,0,0.0,288.12064679864375
1.06,0,0.0,291.96094568017617
1.07,0,0.0,295.83416915741634
1.08,0,0.0,299.740272683218
1.09,0,0.0,303.67920499198283
1.1,0,0.0,307.6509080236947
1.11,0,0.0,311.65531684906415
1.12,0,0.0,315.6923595958255
1.1300000000000001,0,0.0,319.76195737622896
1.1400000000000001,0,0.0,323.8640242157708
1.1500000000000001,0,0.0,327.99846698320323
1.16,0,0.0,332.1651853218677
1.17,0,0.0,336.364071582393
1.18,0,0.0,340.5950107568026
1.19,0,0.0,344.8578804140707
1.2,0,0.0,349.15255063717217
1.21,0,0.0,353.47888396166775
1.22,0,0.0,357.8367353158648
1.23,0,0.0,362.2259519625989
1.24,0,0.0,366.6463734426754
1.25,0,0.0,371.09783152001256
1.26,0,0.0,375.5801501285302
1.27,0,0.0,380.0931453208211
1.28,0,0.0,384.6366252186495
1.29,0,0.0,389.2103899653147
1.3,0,0.0,393.8142316799207
1.31,0,0.0,398.44793441359275
1.32,0,0.0,403.11127410767847
1.33,0,0.0,407.8040185539742
1.34,0,0.0,412.5259273570134
1.35,0,0.0,417.27675189845826
1.36,0,0.0,422.05623530362755
1.37,0,0.0,426.86411241020414
1.3800000000000001,0,0.0,431.70010973915305
1.3900000000000001,0,0.0,436.56394546788914
1.4000000000000001,0,0.0,441.4553294057308
1.41,0,0.0,446.37396297167174
1.42,0,0.0,451.31953917450863
1.43,0,0.0,456.29174259535563
1.44,0,0.0,461.29024937258055
1.45,0,0.0,466.3147271891947
1.46,0,0.0,471.36483526272764
1.47,0,0.0,476.4402243376188
1.48,0,0.0,481.5405366801551
1.49,0,0.0,486.6654060759847
1.5,0,0.0,491.8144578302354
1.51,0,0.0,496.9873087702662
1.52,0,0.0,502.18356725107736
1.53,0,0.0,507.4028331634065
1.54,0,0.0,512.6446979445357
1.55,0,0.0,517.9087445918339
1.56,0,0.0,523.1945476790565
1.57,0,0.0,528.501673375429
1.58,0,0.0,533.8296794675293
1.59,0,0.0,539.1781153839955
1.6,0,0.0,544.5465222230753
1.61,0,0.0,549.9344327830355
1.62,0,0.0,555.3413715954509
1.6300000000000001,0,0.0,560.7668549613867
1.6400000000000001,0,0.0,566.2103909904895
1.6500000000000001,0,0.0,571.6714796430039
1.6600000000000001,0,0.0,577.1496127747246
1.67,0,0.0,582.6442741848954
1.68,0,0.0,588.1549396670699
1.69,0,0.0,593.6810770629384
1.7,0,0.0,599.2221463191314
1.71,0,0.0,604.777599547008
1.72,0,0.0,610.346881085432
1.73,0,0.0,615.9294275665433
1.74,0,0.0,621.5246679845255
1.75,0,0.0,627.132023767373
1.76,0,0.0,632.7509088516582
1.77,0,0.0,638.3807297602975
1.78,0,0.0,644.0208856833152
1.79,0,0.0,649.6707685616016
1.8,0,0.0,655.3297631736613
1.81,0,0.0,660.9972472253443
1.82,0,0.0,666.6725914425544
1.83,0,0.0,672.355159666927
1.84,0,0.0,678.044308954462
1.85,0,0.0,683.7393896771076
1.86,0,0.0,689.4397456272749
1.87,0,0.0,695.1447141252747
1.8800000000000001,0,0.0,700.8536261296595
1.8900000000000001,0,0.0,706.5658063504511
1.9000000000000001,0,0.0,712.2805733652403
1.9100000000000001,0,0.0,717.9972397381368
1.92,0,0.0,723.7151121415459
1.93,0,0.0,729.4334914807545
1.94,0,0.0,735.1516730212993
1.95,0,0.0,740.868946519092
1.96,0,0.0,746.5845963532768
1.97,0,0.0,752.2979016617904
1.98,0,0.0,758.0081364795964
1.99,0,0.0,763.7145698795617
2.0,0,0.0,769.4164661159456
2.0100000000000002,0,0.0,775.1130847704638
2.02,0,0.0,780.8036809008979
2.0300000000000002,0,0.0,786.4875051922088
2.04,0,0.0,792.1638041101187
2.05,0,0.0,797.8318200571257
2.06,0,0.0,803.4907915309035
2.07,0,0.0,809.1399532850517
2.08,0,0.0,814.7785364921508
2.09,0,0.0,820.4057689090754
2.1,0,0.0,826.0208750445258
2.11,0,0.0,831.6230763287251
2.12,0,0.0,837.2115912852372
2.13,0,0.0,842.7856357048557
2.14,0,0.0,848.3444228215126
2.15,0,0.0,853.8871634901562
2.16,0,0.0,859.413066366543
2.17,0,0.0,864.9213380888921
2.18,0,0.0,870.4111834613441
2.19,0,0.0,875.8818056391711
2.2,0,0.0,881.3324063156776
2.21,0,0.0,886.762185910733
2.22,0,0.0,892.1703437608815
2.23,0,0.0,897.5560783109584
2.24,0,0.0,902.9185873071639
2.25,0,0.0,908.2570679915189
2.2600000000000002,0,0.0,913.5707172976477
2.27,0,0.0,918.8587320478191
2.2800000000000002,0,0.0,924.1203091511812
2.29,0,0.0,929.3546458031208
2.3000000000000003,0,0.0,934.560939685686
2.31,0,0.0,939.7383891689947
2.32,0,0.0,944.886193513569
2.33,0,0.0,950.0035530735187
2.34,0,0.0,955.0896695005056
2.35,0,0.0,960.143745948419
2.36,0,0.0,965.1649872786867
