"Ang et al. 1985, Spec. 10"	
-3.8318	-187.99
-5.4343	-208.45
-7.4549	-237.67
-9.336	-266.89
-11.496	-296.11
-12.402	-312.67
-14.074	-341.89
-15.467	-362.35
-16.861	-386.7
-17.905	-400.34
-19.438	-415.92
-20.692	-429.56
-22.086	-443.19
-23.549	-447.09
-24.942	-450.03
-25.639	-451.01
-26.126	-450.03
-26.058	-437.35
-25.71	-415.92
-24.942	-382.81
-24.037	-348.71
-23.201	-320.46
-22.295	-290.27
-20.971	-256.18
-19.578	-225.01
-18.324	-191.89
-17.139	-167.54
-15.885	-139.29
-14.352	-110.07
-12.819	-80.846
-11.496	-56.497
-9.7539	-26.3
-7.385	6.8182
-4.3894	44.807
-0.69672	87.666
2.0901	118.83
4.5984	147.08
7.176	180.2
9.8237	214.29
11.914	246.44
13.934	274.68
16.233	303.91
18.533	332.15
20.553	354.55
22.783	375.99
24.106	389.62
26.058	407.15
27.31	414.95
27.869	416.9
28.217	416.9
27.937	403.26
27.31	382.81
26.754	362.35
25.918	331.18
24.873	299.04
23.618	271.76
22.364	236.69
21.18	207.47
19.647	165.59
18.115	126.63
16.233	90.588
14.631	60.394
12.75	28.248
10.59	-4.8704
9.336	-18.507
7.0368	-50.652
4.459	-81.821
2.7869	-99.355
0.76639	-122.73
-1.7418	-151.95
-4.5286	-181.18
-7.1064	-213.32
-9.336	-243.51
-12.471	-288.32
-14.561	-319.49
-16.582	-340.92
-18.533	-366.24
-20.135	-384.75
-21.459	-398.39
-22.783	-412.03
-24.106	-422.74
-25.082	-431.51
-25.57	-437.35
-25.918	-437.35
-25.918	-423.72
-25.36	-399.36
-24.733	-368.19
-23.967	-339.95
-23.34	-317.54
-22.504	-292.22
-21.041	-254.23
-20.065	-229.88
-18.951	-199.68
-17.487	-167.54
-15.955	-133.45
-14.77	-109.09
-13.237	-78.898
-11.774	-51.626
-9.6147	-21.429
-7.4549	8.7666
-5.6434	31.17
-3.414	56.497
-0.069672	93.511
2.7173	122.73
4.8072	147.08
6.8974	174.36
8.8483	199.68
10.938	227.93
12.889	252.28
15.606	285.4
17.766	311.7
19.438	331.18
21.25	351.64
23.409	375.99
25.221	392.55
26.894	402.28
27.729	403.26
28.009	403.26
28.217	400.34
27.661	381.83
26.962	354.55
26.126	331.18
25.082	299.04
24.037	267.87
22.643	234.75
21.459	205.53
20.344	176.31
19.229	151.95
17.766	121.76
16.303	89.614
14.631	64.286
12.68	30.196
10.869	-0.97407
9.127	-21.429
7.176	-47.729
4.8072	-74.027
2.6474	-100.33
0.27869	-123.71
-1.8811	-147.08
-3.9713	-173.38
-5.2949	-189.94
-7.4549	-216.24
-9.7539	-250.33
-12.611	-285.4
-14.492	-311.7
-16.512	-334.1
-18.324	-356.5
-20.274	-375.01
-22.086	-397.41
-23.479	-409.1
-24.664	-418.84
-25.43	-423.72
-26.058	-428.59
-25.778	-412.03
-25.36	-386.7
-24.176	-343.84
-23.409	-304.88
-22.155	-273.71
-21.041	-238.64
-19.578	-204.55
-18.045	-167.54
-16.373	-131.5
-15.188	-105.2
-13.586	-77.924
-12.262	-52.6
-9.4056	-14.611
-7.1064	14.611
-4.459	42.859
-0.55738	87.666
1.5328	112.99
3.8318	137.34
6.4097	166.56
8.4303	192.86
10.242	217.22
11.914	237.67
13.447	257.15
15.606	283.45
18.115	312.67
20.414	336.05
21.946	353.58
23.827	373.06
25.291	387.68
27.102	398.39
27.798	398.39
28.009	396.44
27.521	377.93
26.822	353.58
25.639	318.51
24.315	277.6
23.201	239.62
21.25	194.81
19.438	159.74
17.418	117.86
15.815	84.743
13.795	48.704
11.565	10.714
10.311	-7.7924
8.2212	-37.014
5.7828	-61.368
3.7622	-88.64
0.97539	-114.94
-0.83607	-137.34
-1.8811	-150
-4.7376	-181.18
-6.4097	-203.58
-7.9426	-225.98
-9.9629	-252.28
-11.635	-275.66
-13.586	-299.04
-16.094	-328.26
-17.766	-344.82
-19.438	-365.27
-21.041	-378.91
-22.504	-390.6
-24.106	-406.18
-25.43	-415.92
-26.126	-420.79
-26.546	-418.84
-26.198	-403.26
-25.57	-378.91
-24.803	-355.53
-24.037	-323.39
-22.992	-296.11
-21.877	-263
-21.041	-234.75
-19.647	-200.65
-18.324	-171.43
-16.791	-137.34
-15.049	-108.12
-12.959	-67.208
-11.426	-40.91
-9.6147	-16.559
-6.7582	23.377
-3.9017	52.6
0	93.511
2.5082	120.78
4.3195	140.27
6.2705	163.64
8.4999	189.94
11.078	225.01
13.865	256.18
16.512	287.35
18.881	312.67
20.971	334.1
22.713	354.55
24.733	373.06
26.685	391.57
27.729	397.41
28.148	397.41
28.217	395.47
27.729	373.06
26.962	344.82
26.126	316.57
25.291	290.27
23.967	253.26
22.086	209.42
20.762	181.18
19.09	146.11
17.209	108.12
15.397	74.027
13.377	39.936
10.938	0.97407
8.6393	-28.248
6.8974	-50.652
3.6927	-85.717
1.0451	-112.99
-1.8115	-145.14
-4.3894	-171.43
-6.3401	-194.81
-8.4999	-223.06
-10.799	-252.28
-13.656	-292.22
-15.537	-314.62
-18.045	-341.89
-19.717	-361.37
-21.459	-379.88
-23.131	-394.5
-24.873	-408.13
-25.847	-413
-26.474	-413.97
-25.987	-387.68
-25.221	-355.53
-24.455	-328.26
-23.688	-300.98
-22.295	-263.97
-21.18	-233.77
-20.065	-206.5
-18.602	-176.31
-17	-145.14
-15.397	-112.02
-13.725	-77.924
-11.635	-41.884
-8.9179	-4.8704
-7.1064	19.481
-4.1803	50.652
-1.3237	78.898
1.3934	111.04
3.5532	135.39
6.6187	169.49
9.6147	209.42
12.471	242.54
15.188	275.66
18.254	308.78
21.041	337.02
23.549	363.32
26.335	387.68
28.217	402.28
30.795	418.84
32.814	426.64
34.976	428.59
36.299	427.61
36.927	419.82
37.902	426.64
38.598	422.74
38.946	414.95
39.086	412.03
39.853	414.95
40.34	409.1
41.105	399.36
41.664	384.75
41.316	362.35
40.828	339.95
39.921	310.73
38.738	278.58
37.622	249.36
36.716	221.11
35.532	190.91
34.348	164.62
33.025	134.42
31.699	109.09
30.099	82.795
28.148	51.626
26.406	28.248
24.524	1.9481
22.643	-16.559
20.623	-37.988
18.463	-61.368
15.606	-86.691
12.889	-106.17
9.6843	-130.52
6.6187	-155.85
3.6927	-181.18
-0.27869	-205.53
-3.5532	-233.77
-7.0368	-265.92
-9.0571	-282.48
-13.725	-322.41
-17.766	-360.4
-19.856	-378.91
-22.225	-397.41
-25.221	-417.87
-27.45	-429.56
-30.376	-439.3
-33.233	-443.19
-36.439	-442.22
-38.25	-433.46
-39.154	-418.84
-39.017	-395.47
-38.179	-368.19
-37.343	-338.97
-36.228	-307.8
-34.836	-273.71
-33.65	-242.54
-32.466	-217.22
-31.491	-194.81
-29.959	-162.67
-28.705	-137.34
-27.102	-108.12
-25.43	-82.795
-23.827	-60.394
-22.016	-37.988
-19.647	-11.689
-17.905	6.8182
-15.606	28.248
-12.262	51.626
-8.9179	73.053
-5.7828	95.459
-3.0655	112.99
-0.48771	131.5
3.1351	159.74
5.7828	178.25
8.6393	196.76
11.147	216.24
14.213	234.75
16.791	253.26
19.578	271.76
21.877	285.4
25.012	300.98
27.102	310.73
30.099	322.41
32.814	327.28
35.74	330.2
37.762	329.23
39.433	322.41
40.617	313.64
40.897	300.98
40.688	280.53
40.061	259.1
39.154	233.77
38.25	210.4
37.343	187.99
36.439	169.49
35.324	146.11
34.209	122.73
32.954	98.381
31.351	66.234
29.261	37.014
27.102	9.7407
24.733	-11.689
22.852	-31.17
20.553	-50.652
17.557	-73.053
14.492	-93.511
10.938	-115.91
6.1311	-145.14
1.8115	-176.31
-2.4385	-206.5
-5.1557	-227.93
-7.8031	-247.41
-11.565	-273.71
-15.676	-302.93
-18.184	-318.51
-20.553	-331.18
-23.201	-346.77
-25.778	-358.45
-28.773	-369.17
-31.143	-373.06
-33.65	-378.91
-36.439	-376.96
-38.318	-373.06
-38.877	-363.32
-39.154	-338.97
-38.179	-314.62
-37.066	-282.48
-35.603	-247.41
-34.277	-215.27
-33.373	-187.99
-31.491	-153.9
-29.611	-122.73
-28.077	-90.588
-25.778	-60.394
-23.758	-36.04
-21.598	-12.663
-18.951	6.8182
-16.791	16.559
-14.422	30.196
-10.799	46.755
-7.385	63.312
-4.3195	75.976
-1.3237	93.511
1.9508	112.99
4.9467	134.42
8.1516	154.87
11.217	173.38
13.795	187.99
16.512	204.55
18.881	215.27
21.737	226.96
24.873	236.69
28.009	244.49
31.351	243.51
33.861	240.59
36.855	232.8
38.877	228.91
40.549	216.24
41.176	202.6
41.036	188.96
39.921	166.56
38.806	145.14
37.622	115.91
36.091	86.691
34.209	60.394
32.954	41.884
31.422	25.326
29.472	3.8962
27.798	-12.663
25.639	-29.222
23.27	-40.91
20.971	-49.678
18.602	-55.523
15.885	-63.312
12.68	-69.157
9.7539	-82.795
6.9672	-96.433
4.668	-109.09
1.2541	-127.6
-1.1844	-142.21
-4.3894	-161.69
-7.8031	-187.02
-10.311	-200.65
-12.959	-216.24
-15.258	-226.96
-17.348	-238.64
-19.09	-247.41
-20.901	-256.18
-22.922	-265.92
-25.221	-275.66
-27.661	-284.42
-29.888	-291.24
-31.91	-298.06
-34.069	-301.96
-36.159	-303.91
-37.691	-301.96
-38.806	-300.98
-39.154	-291.24
-38.806	-262.02
-37.483	-225.01
-36.159	-196.76
-34.976	-164.62
-33.581	-135.39
-32.05	-109.09
-31.003	-88.64
-29.332	-65.26
-27.521	-42.859
-25.639	-26.3
-23.688	-9.7407
-21.25	0
-18.742	11.689
-16.791	14.611
-14.701	16.559
-11.914	17.533
-8.3607	24.351
-5.713	30.196
-2.2295	36.04
1.1844	47.729
5.4343	66.234
9.1966	77.924
12.123	90.588
15.258	104.22
17.766	116.89
20.135	127.6
23.479	140.27
25.71	149.03
28.773	156.82
31.839	158.77
34.348	156.82
36.787	150.98
38.946	145.14
40.617	140.27
40.828	124.68
40.129	105.2
39.086	81.821
37.554	58.445
36.579	45.781
35.324	29.222
34.557	14.611
32.675	-3.8962
30.516	-20.455
27.521	-39.936
26.198	-48.704
23.827	-57.471
21.319	-64.286
19.159	-69.157
16.024	-72.079
12.471	-72.079
9.1966	-73.053
5.1557	-75.001
2.6474	-77.924
0.41803	-82.795
-2.1598	-86.691
-5.0162	-93.511
-7.3155	-97.407
-9.8237	-107.14
-12.68	-119.81
-15.537	-131.5
-17.905	-137.34
-19.996	-150
-22.086	-156.82
-24.524	-164.62
-26.406	-172.41
-28.496	-177.28
-30.447	-180.2
-32.954	-185.07
-34.628	-185.07
-36.855	-186.05
-38.529	-189.94
-39.294	-186.05
