x_m,z_m
8.950000,-2.470532870869e-05
9.000000,-2.942942630878e-05
9.050000,-1.571448231111e-05
9.100000,-1.241551006540e-06
9.150000,-1.672309667188e-05
9.200000,-3.990440622493e-05
9.250000,-4.066344220820e-05
9.300000,-1.820582434812e-05
9.350000,-1.704806220171e-07
9.400000,2.193280311267e-06
9.450000,5.942858691020e-06
9.500000,2.381559000308e-05
9.550000,3.812921195703e-05
9.600000,3.417894592278e-05
9.650000,1.741062694913e-05
9.700000,-1.552517757140e-05
9.750000,-4.191612608649e-05
9.800000,-3.768389837780e-05
9.850000,-3.621246469702e-05
9.900000,-5.559935701718e-05
9.950000,-6.192957279686e-05
10.000000,-4.730088578818e-05
10.050000,-4.223319010927e-05
10.100000,-4.166953893117e-05
10.150000,-2.697660915819e-05
10.200000,-1.435873873043e-05
10.250000,8.610332339249e-07
10.300000,1.349531444567e-05
10.350000,-8.678417542593e-06
10.400000,-2.282008795067e-05
10.450000,-2.195100093363e-06
10.500000,3.360775219074e-06
10.550000,4.129253721202e-06
10.600000,6.503908818686e-06
10.650000,1.210761161557e-05
10.700000,7.486926479311e-05
10.750000,1.150438916751e-04
10.800000,8.351127749807e-05
10.850000,8.009802697615e-05
10.900000,7.899402759037e-05
10.950000,6.998702392517e-05
11.000000,8.890587469045e-05
11.050000,8.657467429255e-05
11.100000,8.624185428592e-05
11.150000,6.234788865852e-05
11.200000,2.731246452415e-05
11.250000,6.745667404448e-05
11.300000,7.900249462774e-05
11.350000,7.737107258376e-05
11.400000,1.177554310454e-04
11.450000,9.537567692462e-05
11.500000,8.106601323255e-05
11.550000,8.469644191753e-05
11.600000,5.647451271661e-05
11.650000,7.390151725373e-05
11.700000,7.711016933143e-05
11.750000,7.667410011893e-05
11.800000,1.017143556396e-04
11.850000,5.823113955011e-05
11.900000,3.903482838677e-05
11.950000,7.654842016538e-05
12.000000,6.908037687198e-05
12.050000,4.380992166319e-05
12.100000,1.546777764685e-05
12.150000,-2.437790984467e-05
12.200000,-4.711897845011e-05
12.250000,-5.151840519949e-05
12.300000,-7.521172897381e-05
12.350000,-9.750183758789e-05
12.400000,-3.942718953633e-05
12.450000,1.124038279326e-05
12.500000,-1.388739942907e-05
12.550000,-2.007723818784e-05
12.600000,-3.048074747291e-05
12.650000,-4.378491469965e-05
12.700000,1.365164653899e-06
12.750000,2.347693921894e-05
12.800000,-6.156173953623e-07
12.850000,-2.067590227895e-05
12.900000,-2.845437615485e-05
12.950000,-1.208033979134e-05
13.000000,-2.460337749815e-06
13.050000,-3.562090046801e-06
13.100000,2.428002304796e-05
13.150000,5.752041744348e-05
13.200000,7.340187136480e-05
13.250000,7.401071912088e-05
13.300000,7.634004374495e-05
13.350000,1.041484727505e-04
13.400000,1.100981375158e-04
13.450000,8.580025332519e-05
13.500000,7.755157604521e-05
13.550000,5.996620439795e-05
13.600000,5.686744842081e-05
13.650000,7.637182478495e-05
13.700000,5.402673020621e-05
13.750000,5.823581236571e-05
13.800000,1.011911312358e-04
13.850000,1.104172236554e-04
13.900000,1.409246316246e-04
13.950000,1.634404988315e-04
14.000000,1.393371244110e-04
14.050000,1.461625394838e-04
14.100000,1.612131558340e-04
14.150000,1.569147852597e-04
14.200000,1.427924078581e-04
14.250000,1.133313799179e-04
14.300000,1.055978999973e-04
14.350000,9.528092930068e-05
14.400000,5.418470311150e-05
14.450000,2.805052212959e-05
14.500000,5.659055170028e-05
14.550000,1.258815060554e-04
14.600000,1.511972232026e-04
14.650000,1.327078482038e-04
14.700000,1.199017667839e-04
14.750000,7.487991490061e-05
14.800000,2.497491234775e-05
14.850000,1.999667247301e-06
14.900000,-3.204762885910e-05
14.950000,-5.805864852905e-05
15.000000,-6.975311720570e-05
15.050000,-9.086478415095e-05
15.100000,-9.573676620339e-05
15.150000,-7.148258959709e-05
15.200000,-7.066833626651e-05
15.250000,-9.289684956447e-05
15.300000,-7.421575488798e-05
15.350000,-7.129611773342e-05
15.400000,-1.122119025029e-04
15.450000,-1.055202404770e-04
15.500000,-8.862840872833e-05
15.550000,-1.066289797261e-04
15.600000,-1.051730665093e-04
15.650000,-9.601649928838e-05
15.700000,-1.173881668658e-04
15.750000,-1.688804123590e-04
15.800000,-2.009544886405e-04
15.850000,-1.760598664547e-04
15.900000,-1.443524428001e-04
15.950000,-1.333145185620e-04
16.000000,-1.149397726228e-04
16.050000,-9.513042246590e-05
16.100000,-9.715025374644e-05
16.150000,-9.654384015749e-05
16.200000,-8.514022305689e-05
16.250000,-7.642979062319e-05
16.300000,-3.222323283486e-05
16.350000,-1.351592425932e-05
16.400000,-6.562594172802e-05
16.450000,-6.685346997861e-05
16.500000,-3.706580607883e-05
16.550000,-1.677581898455e-05
16.600000,5.008354808313e-05
16.650000,6.890055348773e-05
16.700000,2.865568875779e-05
16.750000,1.378446765138e-05
16.800000,-9.272181279555e-06
16.850000,-2.859921726155e-05
16.900000,-2.786187978310e-05
16.950000,-3.802418544144e-05
17.000000,-5.750095635754e-05
17.050000,-7.359635205890e-05
17.100000,-6.321921834199e-05
17.150000,-5.107320930923e-05
17.200000,-6.289305260256e-05
17.250000,-7.432925168434e-05
17.300000,-6.732793183587e-05
17.350000,-2.027838418245e-05
17.400000,2.765647339995e-05
17.450000,3.605877659499e-05
17.500000,5.388118438264e-05
17.550000,8.038844524270e-05
17.600000,7.572151663092e-05
17.650000,5.379626333544e-05
17.700000,4.339325372872e-05
17.750000,5.584291295754e-05
17.800000,7.938475198012e-05
17.850000,9.831734406925e-05
17.900000,1.113271894963e-04
17.950000,1.225102577280e-04
18.000000,1.170249274044e-04
18.050000,9.916430811744e-05
18.100000,1.004421006055e-04
18.150000,9.968747313811e-05
18.200000,8.771599029628e-05
18.250000,8.326017183097e-05
18.300000,7.975037201131e-05
18.350000,1.043258169660e-04
18.400000,1.230362982605e-04
18.450000,8.155216439650e-05
18.500000,4.443665912852e-05
18.550000,1.848112077817e-05
18.600000,-1.290170360685e-05
18.650000,6.343731152921e-09
18.700000,-2.073649830533e-06
18.750000,-5.294705339550e-05
18.800000,-6.427343869175e-05
18.850000,-3.947989341898e-05
18.900000,-3.006285182730e-05
18.950000,-3.885137161516e-05
19.000000,-7.327033370708e-05
19.050000,-1.133638273593e-04
19.100000,-1.287909255622e-04
19.150000,-1.358031060746e-04
19.200000,-1.704390495672e-04
19.250000,-2.230839947002e-04
19.300000,-2.339126706395e-04
19.350000,-2.158931863591e-04
19.400000,-2.146557641393e-04
19.450000,-1.979899711013e-04
19.500000,-1.671862974089e-04
19.550000,-1.479010205182e-04
19.600000,-1.391105358564e-04
19.650000,-1.559713415512e-04
19.700000,-1.701292592990e-04
19.750000,-1.727170362633e-04
19.800000,-1.963388791508e-04
19.850000,-2.102751470414e-04
19.900000,-1.990037719080e-04
19.950000,-2.065837176600e-04
20.000000,-2.346825256337e-04
20.050000,-2.194337847043e-04
20.100000,-1.884841856269e-04
20.150000,-2.141623551450e-04
20.200000,-2.118601824308e-04
20.250000,-1.816904017976e-04
20.300000,-2.019175740968e-04
20.350000,-1.928281861115e-04
20.400000,-1.814176979077e-04
20.450000,-2.131559970014e-04
20.500000,-2.165462259595e-04
20.550000,-2.262744809503e-04
20.600000,-2.108671397028e-04
20.650000,-1.287788551860e-04
20.700000,-8.163441095062e-05
20.750000,-7.774613890717e-05
20.800000,-8.855618417145e-05
20.850000,-1.101370063160e-04
20.900000,-1.032381837810e-04
20.950000,-9.180059896485e-05
21.000000,-1.140986470309e-04
21.050000,-1.343345834970e-04
21.100000,-1.199732844566e-04
21.150000,-1.217030570274e-04
21.200000,-1.543782179882e-04
21.250000,-1.720461788174e-04
21.300000,-1.935589016628e-04
21.350000,-2.102878120193e-04
21.400000,-2.161980954429e-04
21.450000,-2.256439624163e-04
21.500000,-1.895263638178e-04
21.550000,-1.623448083723e-04
21.600000,-1.726087858444e-04
21.650000,-1.530453797451e-04
21.700000,-1.412192570185e-04
21.750000,-1.336358313568e-04
21.800000,-1.333120791457e-04
21.850000,-1.619275122548e-04
21.900000,-1.440536687083e-04
21.950000,-1.358444384158e-04
22.000000,-1.521414108078e-04
22.050000,-1.105782819990e-04
22.100000,-1.020730969860e-04
22.150000,-1.221614571505e-04
22.200000,-1.079610945050e-04
22.250000,-1.375548662425e-04
22.300000,-1.674718397497e-04
22.350000,-1.263625734718e-04
22.400000,-8.681077146669e-05
22.450000,-9.699016768804e-05
22.500000,-1.111955600809e-04
22.550000,-8.803110488351e-05
22.600000,-6.596373364736e-05
